"","species","Mean_Root_diameter","Root_C_concentration","Root_C_N_ratio","Root_N_concentration","Root_tissue_density","Specific_root_length","Root_mass_fraction","Root_branching_density","Root_branching_ratio","Root_Ca_concentration","Root_K_concentration","Root_length_density_volume","Root_lifespan_mean","Root_lifespan_median","Root_lignin_concentration","Root_litter_mass_loss_rate","Root_Mg_concentration","Root_Mn_concentration","Root_mycorrhizal colonization","Root_P_concentration","Root_stele_diameter","Root_stele_fraction","Root_total_structural_carbohydrate_concentration","Specific_root_area","Root_production","Root_turnover_rate","Rooting_depth","Specific_root_respiration","Root_mass_density","Coarse_root_fine_root_mass_ratio","Fine_root_mass_leaf_mass_ratio","Root_dry_matter_content","Root_cortex_thickness","Root_vessel_diameter","Root_xylem_vessel_number","Lateral_spread","Root_N_P_ratio","Net_nitrogen_uptake_rate"
"98","Acer pseudoplatanus",0.906849770291667,452.95,38.074213395,11.343089004375,0.472183816875,36.1957558409375,0.27209259675,4.47305029025,2.69,6.85,1.6,4.812325,577.70375,902.1675,323.525,0.23,1.75833333333333,0.5,48.04,1.14166666666667,533.2325,0.22420745725,305.5,386.3347159,NA,NA,2.06875,NA,NA,NA,2.314250141,NA,NA,NA,NA,NA,NA,NA
"99","Acer pseudosieboldianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Acer pentapomicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Acer rubrum",0.427952132204848,406.558995566667,29.3496,13.828950153951,0.322402684541188,42.0512307435683,0.388295918367347,NA,NA,6.3676018714,4.37683575377778,NA,293,259,NA,0.295,1.26230666277778,0.228352741888889,17.302345665,1.144872417,NA,NA,NA,452.944503598726,NA,NA,3.5,10.4189047576952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Acer saccharinum",NA,436,35.5999509555556,14.6666666666667,NA,NA,0.2325,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,70,NA,NA,NA,275,NA,NA,NA,3.3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Acer saccharum",0.449927886928561,441.539946771429,32.9476883804762,12.9139465293149,0.275895330489656,45.401887162003,0.405551383719462,2.65,5.1,6.29263940754545,3.18241155422222,0.4895835335,359,324,327.833333333333,0.4742,1.37118955988889,0.152647939111111,69.6565550791667,1.15577505236667,60,0.01638780875,NA,551.29410550413,319.6,0.725358796583333,1.25,12.8024136219283,0.182662858635793,3.58484083806522,0.258806168847826,0.289,NA,NA,NA,NA,2.311111111,NA
"104","Acer spicatum",NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA
"105","Acer tataricum",0.233133333,578.6514087,26.11478058,22.157767,0.146218996,172.4784783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Acer tegmentosum",0.3877316145,589.717829,26.47191826,21.841885165,0.145770899,62.159241205,NA,NA,NA,6.8,4.6,NA,NA,NA,NA,NA,2,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Acer triflorum",0.2341,495.460594,17.18797978,29.07036133,0.227082895,110.6332214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Acer truncatum",0.4280036066,NA,NA,14.94,0.2873412928,37.56158339,NA,NA,3.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Acer platanoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Acer caudatum",0.3294612514,NA,NA,NA,NA,47.4158515794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.8749193625,0.574469765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.35929889,NA,NA,NA,NA,NA
"111","Achillea atrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA
"112","Achillea clavennae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"113","Achillea crithmifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA
"114","Achillea erba-rotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"115","Achillea millefolium",NA,NA,NA,8.15384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Achillea macrocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Achillea macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"118","Achillea millefolium",0.244490509882353,391.165587277673,56.34662749,12.0047001150409,0.167748050487179,172.461148879574,0.553384646334359,1.057426994,NA,4.92517620116667,14.6475398482381,3.87700751675,241,NA,NA,5.976533955,3.67120923497619,NA,54.9444444444444,2.23481965245455,264.21033335,0.1870458015,NA,1595.11466665714,NA,NA,0.16,33.8084825720833,0.00029814325,NA,NA,0.24323894162,NA,NA,NA,14.3,12.27132304,40.7988825466667
"119","Achillea nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA
"120","Achillea oxyloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"121","Achillea seidlii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"122","Achillea ptarmica",NA,374.802533333333,NA,25.8986211111111,NA,NA,0.313801155133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,26.697155859,NA,NA,NA,0.0841880778888889,NA,NA,NA,13,NA,NA
"123","Achillea salicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"124","Achillea setacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"125","Achillea tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"126","Oryzopsis hymenoides",NA,NA,NA,NA,0.269,12.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Stipa lettermanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Stipa sibirica",0.154725,NA,NA,NA,NA,82.3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Achyranthes aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Aciphylla aurea",NA,NA,NA,13.21077367,NA,63.87790534125,0.1556801275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Geum rossii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,0.2,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Aconitum anthora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"133","Aconitum anthora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Aconitum degenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"135","Aconitum nasutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Aconitum plicatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"137","Aconitum septentrionale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Aconitum variegatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA
"139","Acorus calamus",NA,NA,NA,NA,0.08,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,13,NA,NA
"140","Acosmium cardenasii",NA,NA,NA,NA,NA,NA,0.3763045028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4052742442,0.1020811478,NA,NA,NA,NA,NA,NA,NA
"141","Acronychia pedunculata",0.353544200933333,493.34,24.48337469,18.415,0.435733333333333,65.7844666666667,NA,NA,2.468125,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,65.69,0.053716399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.88,4.13,3879.7,NA,NA,NA
"142","Rhaponticum repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Actaea cimicifuga",0.26705,530.3269658,31.18678772,17.263182335,0.2376004,117.113061725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Actaea spicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"145","Actinidia kolomikta",0.23,451.5981863,18.13607045,24.905621,0.1078125,224.5237681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Adansonia digitata",0.7033,439.4500097,NA,9.181354842,0.474756691,3.403274688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Adenium obesum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Adenocaulon himalaicum",0.1734,465.4183407,25.26399496,18.42205767,0.221875,192.9116901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Adenophora liliifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Adenostoma fasciculatum",NA,NA,NA,4.9954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00276,NA,NA,NA,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.981651376,NA
"151","Adenostyles alliariae",NA,NA,NA,10.82496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA
"152","Adenostyles alpina",NA,NA,NA,14.24011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"153","Adesmia bicolor",NA,NA,NA,22.4,0.104,10.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Adesmia boronioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Adesmia volckmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Adiantum pedatum",0.327152905625,457.72535835,41.323028915,11.939634615625,0.156742546875,122.36165976375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.7369415725,NA,NA,NA,NA,NA
"157","Adina pilulifera",0.1376,441.1170557,25.99477207,16.970358,0.114285714,580.271875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Adinandra acuminata",0.759,NA,NA,NA,0.2745,8.94525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Adinandra milletii",0.42697,460.8236,58.8372,7.3594,0.40282,150.14145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4669802,NA,0.945418802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Adonis aestivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Adonis turkestanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Adonis vernalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"163","Adoxa moschatellina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"164","Aechmea rubiginosa",NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Aegiceras corniculatum",NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Aegilops crassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Aegilops tauschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Aegopodium alpestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Aegopodium podagraria",NA,NA,NA,NA,NA,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA
"172","Aeluropus littoralis",NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.545454545,NA
"173","Aesculus glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Aesculus hippocastanum",0.742977159523809,468.585125,53.6966666666667,10.7966875,0.169583333333333,18.0003539527778,0.235996505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,282.875,0.087393512,NA,322.464623333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Aesculus parviflora",0.436811805,460.63625,53.0566666666667,11.316,0.124916666666667,38.2131859716667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,90,0.0382441065,NA,570.676802833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Aethionema rotundifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Aextoxicon punctatum",NA,NA,NA,NA,NA,NA,0.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Afrocarpus gracilior",NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Agastache foeniculum",0.42,NA,NA,NA,0.18,52.6496753660833,0.167900567444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Agathis australis",0.629486666666667,NA,NA,13,0.237784528733333,13.9891627026,0.318716556,2.64834523733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Agathis kinabaluensis",0.74525,NA,NA,NA,0.21125,11.3275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Agave americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"183","Agave deserti",NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Ageratina altissima",0.23864,NA,NA,NA,0.161432544,168.96697164,0.2255681526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Ageratum houstonianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Aglaia exstipulata",0.91585,NA,NA,NA,0.787482009,2.010440401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.226741805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Aglaia odorata",0.349,467.2807185,NA,15.56019505,0.408691044,24.75608866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Aglaia odoratissima",0.84445,NA,NA,NA,0.35272045,5.218592881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.13271405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Aglaia squamulosa",1.6135,NA,NA,NA,0.241,2.15425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Agonis flexuosa",NA,NA,NA,NA,NA,NA,0.0925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Agoseris glauca",NA,458.6270905,51.80740658,8.852539063,NA,56.3339632733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Agoseris heterophylla",NA,NA,NA,NA,NA,258.4906931,0.208074753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Agrimonia eupatoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"194","Agrimonia pilosa",0.2777343195,595.221207,30.3652298383333,24.987996835,0.251791118416667,161.80276892,NA,NA,NA,NA,NA,NA,NA,108.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Agrimonia procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"196","Agriophyllum squarrosum",NA,NA,NA,10.562,NA,23.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
